,CB1,CB2,CB3,CB4,CB5,CB6,CB7,,,,
,467,48,48,39,39,37,39,,,,
,468,52,37,39,39,37,40,,,,
,468,45,37,39,40,32,26,,,,
,469,41,40,40,26,26,30,,,,
,468,45,37,39,39,33,40,,,,
,466,48,48,48,39,37,39,,,,
,450,34,34,38,48,48,39,,,,
,464,52,37,39,39,37,40,,,,
,465,41,40,26,26,30,35,,,,
,463,40,40,26,27,31,38,,,,
,464,48,48,39,39,37,39,,,,
,465,40,26,26,30,34,38,,,,
,451,26,27,34,38,48,48,,,,
,468,45,37,39,40,32,26,,,,
,458,39,48,48,48,37,39,,,,
,458,40,26,30,34,38,48,,,,
,468,45,41,40,26,26,30,,,,
,464,52,39,39,39,41,40,,,,
,458,42,48,48,39,37,39,,,,
,446,30,30,38,38,48,48,,,,
,456,40,26,30,34,38,48,,,,
,463,40,26,26,30,34,38,,,,
,464,52,39,39,39,37,40,,,,
,446,30,30,38,38,48,48,,,,
,446,30,31,38,38,48,48,,,,
,447,30,31,38,48,48,48,,,,
,468,45,39,40,40,26,27,,,,
,466,48,48,39,39,37,39,,,,
,466,45,39,39,39,33,40,,,,
,469,45,41,40,26,26,30,,,,
,463,40,26,30,34,35,48,,,,
,458,34,38,48,48,37,39,,,,
,467,48,37,39,39,37,40,,,,
,469,41,40,40,26,26,34,,,,
,458,34,38,48,48,37,39,,,,
,468,52,39,39,39,33,40,,,,
,461,40,26,30,34,35,48,,,,
,466,48,48,39,39,37,39,,,,
,467,41,40,26,26,30,34,,,,
,467,40,26,26,30,34,38,,,,
,451,26,30,34,38,48,48,,,,
,458,38,38,48,48,37,39,,,,
,471,41,40,26,27,30,38,,,,
,468,52,39,39,39,33,40,,,,
,458,35,38,48,48,37,39,,,,
,504,40,32,26,27,31,38,,,,
,495,35,38,48,48,37,39,,,,
,472,26,26,31,35,38,48,,,,
,473,41,41,40,26,26,31,,,,
,487,52,37,39,39,33,40,,,,
,456,48,48,39,39,37,41,,,,
,473,52,37,39,39,37,40,,,,
,530,45,37,41,40,32,26,,,,
,554,41,32,26,30,31,38,,,,
,542,34,26,34,38,35,48,,,,
,517,42,38,48,48,37,39,,,,
,394,112,48,39,39,37,41,,,,
,358,218,48,48,39,37,30,,,,
,53,357,39,40,40,26,39,,,,
,40,322,27,34,38,38,48,,,,
,41,352,40,26,30,34,38,,,,
,45,371,40,40,26,26,34,,,,
,39,391,45,41,40,26,26,,,,
,48,388,45,39,39,41,40,,,,
,38,362,48,48,39,37,39,,,,
,48,368,45,39,39,41,40,,,,
,45,357,41,40,26,26,30,,,,
,40,345,26,30,34,35,48,,,,
,26,351,34,38,38,48,48,,,,
,38,370,48,48,39,37,39,,,,
,52,373,45,39,40,32,26,,,,
,40,354,30,34,38,38,48,,,,
,48,373,52,39,39,37,41,,,,
,41,362,26,27,34,35,48,,,,
,48,374,48,39,39,37,39,,,,
,41,385,40,26,27,31,38,,,,
,45,385,40,26,26,30,35,,,,
,45,385,41,40,26,26,31,,,,
,45,385,41,40,26,26,34,,,,
,34,382,48,48,48,37,39,,,,
,45,385,41,40,26,26,30,,,,
,41,381,40,26,26,30,38,,,,
,48,384,45,39,39,37,40,,,,
,26,371,34,38,38,48,48,,,,
,45,385,41,41,40,26,26,,,,
,41,376,26,26,30,34,38,,,,
,52,385,45,39,40,32,26,,,,
,42,384,48,48,39,37,39,,,,
,26,371,34,38,38,48,48,,,,
,45,385,40,40,26,27,34,,,,
,52,388,45,39,39,33,40,,,,
,42,384,48,52,39,37,39,,,,
,34,382,42,48,48,37,39,,,,
,26,371,34,38,38,48,48,,,,
,48,388,45,39,39,33,40,,,,
,40,367,27,34,35,38,48,,,,
,45,385,40,40,26,26,34,,,,
,45,389,41,41,40,26,26,,,,
,52,388,45,39,41,32,26,,,,
,48,388,45,39,39,41,40,,,,
,48,384,45,39,39,37,40,,,,
,48,385,52,39,39,37,41,,,,
,48,384,52,39,39,37,41,,,,
,48,385,45,39,39,37,40,,,,
,48,383,45,39,39,37,40,,,,
,52,385,45,39,41,32,26,,,,
,45,377,41,40,26,26,30,,,,
,41,365,40,26,30,34,38,,,,
,26,362,35,38,48,48,52,,,,
,38,368,48,48,39,37,39,,,,
,52,365,45,39,41,32,26,,,,
,40,364,26,30,34,35,48,,,,
,40,377,40,27,34,35,48,,,,
,41,427,74,26,30,34,38,,,,
,34,262,298,48,39,37,39,,,,
,39,45,352,26,26,30,35,,,,
,30,38,362,48,48,37,39,,,,
,26,30,366,42,48,48,39,,,,
,26,27,370,42,38,48,48,,,,
,48,48,365,61,39,37,40,,,,
,41,40,352,59,27,31,38,,,,
,34,38,386,52,48,37,37,,,,
,39,39,377,41,40,26,27,,,,
,26,31,374,48,48,48,39,,,,
,48,48,380,45,39,37,40,,,,
,34,38,382,48,48,37,39,,,,
,48,48,383,52,39,37,41,,,,
,39,45,384,43,40,32,26,,,,
,40,40,354,34,34,35,48,,,,
,48,48,365,45,39,37,40,,,,
,48,48,356,45,39,37,40,,,,
,48,52,357,45,39,33,40,,,,
,39,45,343,41,40,26,26,,,,
,39,41,335,40,26,27,34,,,,
,48,52,341,45,39,37,40,,,,
,30,38,342,48,48,37,39,,,,
,40,40,328,30,34,35,48,,,,
,38,41,339,40,26,26,34,,,,
,48,45,343,45,41,33,32,,,,
,48,48,342,45,39,37,41,,,,
,34,42,342,48,39,37,39,,,,
,26,34,338,42,48,48,39,,,,
,40,40,330,34,34,38,48,,,,
,39,40,328,26,27,31,38,,,,
,39,39,352,40,26,26,34,,,,
,39,39,345,40,26,26,34,,,,
,34,39,348,48,39,37,39,,,,
,34,39,349,48,39,37,30,,,,
,38,48,356,52,39,37,39,,,,
,40,40,354,31,34,38,48,,,,
,39,39,373,41,40,32,26,,,,
,34,38,372,48,39,37,39,,,,
,48,48,373,45,39,37,41,,,,
,48,39,375,45,39,35,40,,,,
,39,39,377,40,40,26,30,,,,
,48,48,375,45,39,37,40,,,,
,39,39,369,41,40,32,26,,,,
,41,40,360,26,30,34,38,,,,
,39,39,369,40,26,26,30,,,,
,40,26,355,34,34,35,48,,,,
,34,38,368,48,39,37,39,,,,
,39,39,373,41,40,32,26,,,,
,40,40,355,34,34,38,48,,,,
,38,48,356,52,39,37,39,,,,
,39,39,401,40,26,26,34,,,,
,39,41,387,42,26,27,34,,,,
,41,40,136,386,30,34,38,,,,
,30,34,48,425,48,37,39,,,,
,48,48,39,437,45,37,41,,,,
,39,37,39,449,40,32,26,,,,
,26,30,38,446,48,36,39,,,,
,39,37,39,449,40,26,26,,,,
,26,26,34,442,48,48,48,,,,
,48,37,39,445,41,33,40,,,,
,39,37,39,445,40,32,26,,,,
,27,31,38,444,48,37,39,,,,
,35,38,48,446,45,37,39,,,,
,40,26,26,438,35,38,48,,,,
,39,37,39,447,40,26,26,,,,
,35,38,48,446,39,37,39,,,,
,40,26,26,435,35,38,48,,,,
,39,37,39,445,40,26,26,,,,
,40,32,26,434,34,34,48,,,,
,31,35,48,445,48,37,39,,,,
,39,37,39,445,41,32,26,,,,
,40,26,27,434,38,35,48,,,,
,38,48,48,440,39,37,39,,,,
,39,37,39,433,40,26,26,,,,
,48,48,52,441,39,37,41,,,,
,39,41,40,426,26,27,34,,,,
,39,37,39,445,40,32,26,,,,
,38,48,48,444,45,37,39,,,,
,26,31,38,443,48,36,39,,,,
,40,32,26,434,34,35,48,,,,
,39,37,39,441,40,26,26,,,,
,48,48,52,445,39,37,41,,,,
,30,34,38,443,48,37,39,,,,
,26,26,34,442,48,48,48,,,,
,40,26,27,438,38,35,48,,,,
,40,26,30,438,38,35,48,,,,
,26,26,34,442,48,48,48,,,,
,39,37,39,440,40,26,27,,,,
,35,38,48,444,39,37,39,,,,
,48,37,39,445,39,37,40,,,,
,34,38,48,446,52,37,39,,,,
,48,37,39,443,39,33,40,,,,
,39,37,40,430,26,26,34,,,,
,26,26,34,448,48,48,39,,,,
,48,37,39,453,45,37,40,,,,
,40,26,27,450,42,48,48,,,,
,34,38,48,448,164,37,39,,,,
,27,34,38,48,448,37,39,,,,
,39,33,32,26,422,34,38,,,,
,39,37,37,39,435,40,26,,,,
,38,48,48,39,417,45,39,,,,
,40,26,26,34,426,48,48,,,,
,26,30,34,38,418,52,39,,,,
,39,37,41,40,398,42,30,,,,
,38,48,48,39,413,47,39,,,,
,38,48,48,39,415,47,39,,,,
,38,48,48,52,420,47,39,,,,
,48,48,37,39,453,45,41,,,,
,40,26,26,34,450,48,48,,,,
,26,27,34,39,452,52,39,,,,
,48,37,37,39,453,40,26,,,,
,26,26,31,38,453,48,48,,,,
,39,37,37,41,444,40,26,,,,
,38,38,48,48,456,45,39,,,,
,40,26,27,35,458,48,48,,,,
,39,37,41,40,446,42,30,,,,
,48,48,37,39,461,45,40,,,,
,39,37,41,40,445,42,30,,,,
,48,48,37,39,465,45,41,,,,
,26,30,34,48,468,52,39,,,,
,41,32,26,27,462,42,38,,,,
,39,37,37,41,463,40,26,,,,
,38,48,48,52,469,45,39,,,,
,39,37,37,41,459,40,26,,,,
,40,26,26,30,462,48,48,,,,
,38,48,48,52,465,45,39,,,,
,30,34,38,48,466,52,39,,,,
,30,34,38,48,467,52,39,,,,
,26,26,30,38,468,48,48,,,,
,26,26,30,38,468,48,48,,,,
,26,26,30,38,468,48,48,,,,
,26,27,34,42,470,48,39,,,,
,26,27,34,39,470,48,39,,,,
,27,30,35,48,469,52,39,,,,
,38,48,48,52,468,45,39,,,,
,48,37,37,39,463,43,40,,,,
,39,37,37,41,457,40,26,,,,
,39,37,40,40,440,30,31,,,,
,41,32,26,27,451,39,38,,,,
,26,26,30,38,459,48,48,,,,
,39,40,32,26,450,38,38,,,,
,39,37,37,41,456,40,26,,,,
,38,48,48,39,461,45,39,,,,
,26,30,35,48,464,52,39,,,,
,38,48,48,39,465,45,39,,,,
,39,37,37,41,424,40,26,,,,
,40,26,26,34,366,167,48,,,,
,39,37,37,41,40,250,27,,,,
,26,37,37,39,41,233,26,,,,
,26,30,34,38,48,240,39,,,,
,39,37,37,41,40,224,26,,,,
,32,26,27,34,39,240,48,,,,
,48,37,37,39,41,237,40,,,,
,37,37,37,40,40,232,30,,,,
,34,38,48,48,40,234,31,,,,
,31,34,38,48,48,244,39,,,,
,39,37,37,40,40,232,30,,,,
,26,30,34,38,48,244,39,,,,
,39,37,37,39,40,232,26,,,,
,39,37,33,40,26,234,34,,,,
,41,33,26,26,30,234,39,,,,
,40,26,26,34,38,240,48,,,,
,26,30,34,38,48,244,39,,,,
,39,37,37,40,40,232,31,,,,
,34,38,48,48,39,245,39,,,,
,39,37,40,40,26,234,35,,,,
,34,38,48,48,39,245,39,,,,
,39,41,32,26,27,234,38,,,,
,35,38,48,48,39,245,39,,,,
,38,48,48,39,39,245,39,,,,
,41,32,26,26,34,243,39,,,,
,48,37,37,39,39,249,40,,,,
,26,30,34,38,48,260,39,,,,
,40,32,26,30,35,275,48,,,,
,41,32,26,26,34,322,39,,,,
,40,26,26,30,35,326,48,,,,
,40,26,26,30,38,326,48,,,,
,48,48,37,39,45,339,40,,,,
,40,26,26,30,38,320,48,,,,
,48,37,37,39,41,307,40,,,,
,48,37,37,39,41,305,26,,,,
,39,37,37,39,41,301,26,,,,
,39,37,37,41,40,296,26,,,,
,39,41,32,26,27,290,38,,,,
,39,37,37,39,41,280,26,,,,
,39,37,33,40,26,274,34,,,,
,40,26,26,31,38,284,48,,,,
,39,37,37,40,40,270,30,,,,
,41,32,26,26,34,286,38,,,,
,39,37,37,39,41,288,26,,,,
,48,37,37,39,39,291,40,,,,
,48,48,37,39,39,303,40,,,,
,48,48,37,39,39,277,40,,,,
,37,37,37,39,41,251,40,,,,
,38,35,48,39,39,207,167,,,,
,38,48,48,39,39,45,317,,,,
,27,31,38,48,48,39,325,,,,
,26,26,27,34,38,48,348,,,,
,34,35,48,48,37,37,365,,,,
,37,37,37,37,40,32,346,,,,
,41,32,26,26,31,35,372,,,,
,26,30,34,38,48,36,375,,,,
,35,35,48,48,37,37,385,,,,
,48,48,37,39,37,37,373,,,,
,37,37,37,39,40,32,382,,,,
,41,32,26,26,30,34,379,,,,
,30,34,35,48,48,37,341,,,,
,48,37,37,39,41,32,328,,,,
,39,33,26,26,30,34,342,,,,
,30,34,35,48,48,37,349,,,,
,38,37,37,39,41,32,344,,,,
,41,32,26,26,31,35,362,,,,
,41,32,26,26,30,34,366,,,,
,39,33,32,26,27,31,366,,,,
,39,41,32,26,26,30,366,,,,
,30,34,35,48,48,37,365,,,,
,26,26,31,38,48,48,364,,,,
,48,37,37,39,39,41,353,,,,
,39,33,32,26,27,34,362,,,,
,26,30,34,38,48,36,365,,,,
,40,26,26,30,35,38,368,,,,
,31,34,38,48,48,37,367,,,,
,48,37,37,39,39,33,352,,,,
,39,41,32,26,26,30,362,,,,
,26,26,30,38,48,48,364,,,,
,38,48,48,39,39,37,352,,,,
,39,37,41,40,26,26,334,,,,
,26,26,30,38,48,48,340,,,,
,39,37,37,39,40,32,328,,,,
,30,34,35,48,48,37,343,,,,
,48,37,37,39,39,33,344,,,,
,40,32,26,26,34,35,358,,,,
,34,35,48,48,39,37,359,,,,
,26,26,30,35,48,48,358,,,,
,41,32,26,26,31,35,358,,,,
,37,37,33,40,26,27,350,,,,
,37,37,37,40,40,26,346,,,,
,37,26,26,34,38,48,356,,,,
,40,32,26,27,34,38,354,,,,
,41,32,26,26,34,35,354,,,,
,40,32,26,27,34,35,354,,,,
,41,32,26,26,30,34,354,,,,
,41,32,26,26,30,34,354,,,,
,40,26,26,30,34,38,354,,,,
,32,26,26,34,38,48,356,,,,
,26,26,30,35,48,48,356,,,,
,27,30,35,48,48,37,357,,,,
,34,35,35,48,39,37,357,,,,
,40,32,26,27,34,38,355,,,,
,37,37,37,41,40,26,346,,,,
,35,35,48,48,39,37,357,,,,
,48,48,37,39,39,37,355,,,,
,48,37,37,39,39,41,352,,,,
,26,26,30,35,38,48,357,,,,
,31,34,35,48,48,37,359,,,,
,38,48,36,39,39,37,357,,,,
,37,37,37,39,40,32,344,,,,
,37,37,33,40,26,26,350,,,,
,40,26,26,30,34,38,356,,,,
,30,34,38,48,48,37,357,,,,
,48,48,37,39,39,37,352,,,,
,37,37,33,40,26,26,350,,,,
,26,26,27,34,38,48,356,,,,
,35,35,48,48,39,37,357,,,,
,37,37,37,41,40,26,346,,,,
,26,26,27,34,38,48,356,,,,
,40,32,26,27,34,38,356,,,,
MAX,554,427,401,453,470,339,385,,,Average,432.7142857
MIN,26,26,26,26,26,26,26,,,,26
